snippet_id,snippet_name,message_id,input_text,evaluation_text
fe90d6c0-a438-43e2-9b66-b511207a2511,mm M9-Scheiladen-context (10)*,87079795-2094-4efe-9a2e-099cbaefdc0b,Wann ist fr meinen Vertrag die Netzumstellung auf das 1&1 5G Netz?,Agent answers
72421188-3ec8-4fdb-aa4d-53f329683947,mm M9-Scheiladen-context-reordered (10)*,6c5959ca-9799-4af0-9b8a-2229d8a358a8,Wann ist fr meinen Vertrag die Netzumstellung auf das 1&1 5G Netz?,Agent answers
c81b6abc-a7f4-4a80-b11a-0e193da4cb6d,Hilfe-Center Test Deutsch Mehrdeutigkeit Internetstörung,65bbde57-5703-4093-9716-824e4cc5ef2a,internet geht nicht,Der Agent bittet darum das Anliegen genauer zu beschreiben und ob es sich das Internet über den Router oder über die mobilen Daten am Smartphone nicht geht.
c81b6abc-a7f4-4a80-b11a-0e193da4cb6d,Hilfe-Center Test Deutsch Mehrdeutigkeit Internetstörung,49543958-7b30-433b-8962-f59444ab5e83,Ich hab zu Hause kein Internet.,"Der Agent sucht Lösungen für den Kunden aus der Knowledge Base und gibt gezielt zuerst Hilfestellungen, die der Kunden selbst durchführen kann."
c81b6abc-a7f4-4a80-b11a-0e193da4cb6d,Hilfe-Center Test Deutsch Mehrdeutigkeit Internetstörung,7d644b04-3fe5-43e7-8c72-a004e1808024,"Das hat nicht geklappt, ich habe immer noch kein Internet zu Hause.","Der Agent sucht in der Knowledge Base nach weiteren Lösungen, wie der Kunde eine Störung melden kann, wenn er sie nicht selbst beheben kann."
3037a198-de6c-48c5-8b4f-0e4743153f31,hc - dsl activation (5)*,24f5ceff-5475-4399-b193-16dc6e8b1912,"ja, ich hätte gerne einen 250er dsl vertrag",agent answers how to buy a dsl contract
3d8df8d8-01c2-45d5-be2f-cf5b49625b36,hc - internet is not working (3)*,8ff56446-80b6-4896-8d0b-66b31adf35f0, Internet funktioniert nicht,Agent Answers
3d8df8d8-01c2-45d5-be2f-cf5b49625b36,hc - internet is not working (3)*,1aff919f-ed69-48e7-9c5c-7cc5361b25c3,WLAN,Agent Answers
3d8df8d8-01c2-45d5-be2f-cf5b49625b36,hc - internet is not working (3)*,384da5d7-ee0e-4c9b-9df5-0df77bcab351,Mobilfunk,Agent Answers
eff157d8-765b-4fc0-a28c-4ccb9e1beae1,test_test_snippets,20641633-2fc0-42d1-899d-d9b2ad55c1a7,Hi ich brauche Hilfe mit dem Handy,Antwort ist freundlich formuliert
c7f7905e-aed5-4216-937d-31f3b0d1110e,Classifier Test,50fe6bed-47d8-4d06-9df6-b6e16ec6d9c5,ich hab eine frage zu meinem business mobile vertrag,"{ ""concerns"": [ { ""productCode"": ""P1"", ""concernClusterCode"": ""CC8"", ""concernItemCode"": ""CC8I2"", ""concernTypeCode"": ""TC1"", ""confidence"": 70 } ], ""KI"": [ { ""No"": 5, ""Topic"": ""BSM"", ""KIAdvice"": ""BSM KFM"", ""confidence"": 75 } ] }

“Ich habe Ihr Anliegen als [MOB], [Kunden- & Vertragsdaten], [Vertragsdaten] und [Information] erkannt.”"
